objectID,title,artist,medium,department,culture,period,classification,imageURL
104045,"Skyline, ""TOPS"", Chicago Architectural Club Competition 1983, Presentation Drawing",Dirk Wolfgang Danker,Graphite and red pencil on tracing paper,Architecture and Design,Chicago,1983,presentation drawing,"https://www.artic.edu/iiif/2/7b281629-dea4-7854-3b44-5a7217d3f6f6/full/843,/0/default.jpg"
103232,"Mr. and Mrs. Norman Weinrib House, Highland Park, Illinois, Plans",Marianne Willisch,Pencil and colored pencil on white tracing paper,Architecture and Design,United States,c. 1962,architectural fragment,"https://www.artic.edu/iiif/2/ff862f15-5f40-89dc-83fe-bda02d7488a2/full/843,/0/default.jpg"
70463,"Suburban House with Parabolic Roof, Perspective Rendering",Hugh Mackie Gordon Garden,Ink and colored pencil on cellulose acetate; taped edges,Architecture and Design,United States,1947,architectural detail,"https://www.artic.edu/iiif/2/5c9f6faa-1d7d-51da-f21f-9283dd666293/full/843,/0/default.jpg"
248764,"W.J. Clarkson House, River Forest, Illinois, First Floor Plan",Tallmadge and Watson Architects,Black and brown ink on linen,Architecture and Design,River Forest,1924,architectural drawing,"https://www.artic.edu/iiif/2/0519a2a9-92c8-8797-0bfb-780f51c9b533/full/843,/0/default.jpg"
247620,"Western Homes, House No. IS-3, Highland Park, Illinois, Presentation Drawing",Lloyd Morgan Yost,"Ink, graphite, colored pencil, and zip-a-tone on paper",Architecture and Design,United States,c. 1946,presentation drawing,"https://www.artic.edu/iiif/2/4b55500d-3943-6485-fccc-529fc4c06ce1/full/843,/0/default.jpg"
213127,French Carafe Gift Set,Kaptein Roodnat,Glass,Architecture and Design,,2005,design,"https://www.artic.edu/iiif/2/2675e1f3-4c44-327c-ec17-d4aaf4a7cc41/full/843,/0/default.jpg"
197588,This Chair,Richard Hutten,Walnut and chrome,Architecture and Design,,2004,design,"https://www.artic.edu/iiif/2/8416db40-3ebc-3cb5-6c74-889d11669824/full/843,/0/default.jpg"
102285,"Archie Schrom House, Highland Park, Illinois, Plans and Perspective",Paul Schweikher,Pencil on paper,Architecture and Design,Highland Park,1938,architectural drawing,"https://www.artic.edu/iiif/2/bd4db865-16bb-e0d8-2582-6a39413f63ff/full/843,/0/default.jpg"
242757,"SAIC Project for Building at State and Monroe, Chicago, Illinois, Perspective",Kennedy & Violich Architecture (Firm),"Ink, graphite, and crayon on white tracing paper",Architecture and Design,Chicago,c. 2001,architectural drawing,"https://www.artic.edu/iiif/2/65bc19a6-cc87-74dc-2973-103bfea5306a/full/843,/0/default.jpg"
242417,"Santo Stefano Archway Detail, Bologna, Italy, Travel Sketch",Edward Herbert Bennett,Graphite and colored pencil on brown toned paper,Architecture and Design,Bologna,c. 1902,travel sketch,"https://www.artic.edu/iiif/2/6014601a-9b0c-deba-11b1-5d72ce5885fd/full/843,/0/default.jpg"
